pressure,iron,copper,hardness,silica,alkalinity,conductance,conformity_class
243.36,0.102,0.0499999999999999,0.18,23.66,497.9,10130.51,nonconforming
434.2,0.056,0.027,0.06,179.53,537.03,1693.25,nonconforming
110.89,0.053,0.019,0.09,130.39,89.96000000000001,4680.39,conforming
62.79,0.072,0.008,0.0,175.63,601.38,1035.97,nonconforming
167.83,0.02,0.037,0.3299999999999999,199.29,753.48,4555.72,nonconforming
274.3,0.021,0.054,0.39,134.68,370.37,6586.84,nonconforming
109.46,0.07,0.021,0.0,222.04,77.22,1178.71,nonconforming
258.05,0.083,0.009,0.0,161.20000000000002,425.75,8688.94,nonconforming
369.07,0.027,0.014,0.09,106.21,370.37,1317.94,nonconforming
431.73,0.051,0.037,0.3,117.65,128.70000000000002,7619.43,nonconforming
194.61,0.065,0.016,0.39,158.47,670.8000000000001,10145.72,nonconforming
294.19,0.08,0.017,0.21,166.66,60.190000000000005,5112.64,nonconforming
236.21,0.018,0.018,0.15,138.58,1044.03,9235.59,nonconforming
224.64,0.047,0.0419999999999999,0.27,111.93,218.79,9130.16,nonconforming
248.3,0.083,0.023,0.15,62.010000000000005,819.26,9110.92,nonconforming
323.96000000000004,0.0489999999999999,0.026,0.09,112.58,536.38,8402.94,nonconforming
189.41,0.034,0.045,0.15,103.35,440.31,9880.65,nonconforming
64.48,0.0349999999999999,0.053,0.12,178.88,847.47,2477.9300000000003,nonconforming
278.85,0.0419999999999999,0.0349999999999999,0.3299999999999999,58.89,46.54,3717.35,nonconforming
337.74,0.099,0.024,0.12,53.43,448.89,3730.74,nonconforming
305.37,0.047,0.03,0.42,128.44,957.19,10447.71,nonconforming
38.61,0.016,0.014,0.3,206.7,994.11,9849.45,nonconforming
26.52,0.1,0.013,0.0,105.56,426.4,159.64,conforming
366.21,0.012,0.041,0.21,4.29,294.71000000000004,1726.79,nonconforming
434.59,0.046,0.0499999999999999,0.42,15.34,284.31,8219.77,nonconforming
194.09,0.086,0.027,0.0,154.96,913.9,9688.51,nonconforming
117.39,0.059,0.0499999999999999,0.3299999999999999,207.74,1048.19,609.44,nonconforming
228.93,0.012,0.019,0.03,158.08,1048.06,7942.09,nonconforming
434.33,0.047,0.028,0.21,209.82,279.76,3294.33,nonconforming
355.03000000000003,0.034,0.01,0.3,15.21,633.49,10018.84,nonconforming
393.12,0.103,0.053,0.39,35.620000000000005,229.58,2266.42,nonconforming
340.08,0.076,0.054,0.27,21.06,435.11,1562.86,nonconforming
414.05,0.077,0.053,0.3299999999999999,36.27,703.0400000000001,7242.56,nonconforming
282.36,0.0489999999999999,0.041,0.27,48.49,41.99,10005.84,nonconforming
406.25,0.099,0.025,0.12,213.46,68.51,986.57,nonconforming
272.74,0.021,0.01,0.27,203.58,302.51,6589.18,nonconforming
341.51,0.023,0.005,0.12,41.34,394.29,9349.6,nonconforming
45.370000000000005,0.072,0.017,0.3,31.59,49.4,5728.97,conforming
248.56,0.008,0.046,0.3,3.64,691.34,8582.86,nonconforming
393.77,0.026,0.022,0.15,217.88,933.53,10350.99,nonconforming
294.06,0.073,0.024,0.24,40.43,124.02,5232.5,conforming
423.67,0.039,0.006,0.0,83.46000000000001,38.22,6077.37,nonconforming
23.4,0.0419999999999999,0.019,0.18,51.22,501.93,6469.1900000000005,conforming
339.43,0.018,0.052,0.24,203.32,983.58,8336.25,nonconforming
26.130000000000003,0.034,0.011,0.42,117.52,734.89,631.41,nonconforming
415.48,0.0349999999999999,0.046,0.12,209.04,964.34,4824.56,nonconforming
358.8,0.088,0.039,0.03,47.58,166.01000000000002,2757.17,nonconforming
231.66,0.067,0.018,0.39,12.87,459.94,6737.77,nonconforming
273.39,0.036,0.022,0.24,130.52,531.0500000000001,6226.09,conforming
322.01,0.012,0.027,0.27,207.87,903.63,1989.52,nonconforming
356.10999999999547,0.037,0.028,0.36,75.4,690.82,3424.85,nonconforming
254.44999999999905,0.054,0.013,0.3,24.44,70.59,2605.46,conforming
351.8199999999956,0.033,0.029,0.15,66.95,665.21,2497.9500000000003,nonconforming
347.0099999999958,0.018,0.012,0.18,77.61,676.26,592.41,nonconforming
307.4899999999972,0.018,0.007,0.21,127.01,599.69,3701.88,nonconforming
369.239999999995,0.037,0.012,0.0,39.26,304.59000000000003,7990.84,nonconforming
414.4799999999934,0.026,0.014,0.21,16.25,378.04,1650.74,conforming
268.7499999999985,0.028,0.016,0.09,81.25,698.1,1671.93,conforming
523.9399999999896,0.043,0.027,0.03,32.370000000000005,571.61,3822.65,nonconforming
518.7399999999898,0.013,0.01,0.12,67.73,30.81,1208.35,nonconforming
326.7299999999965,0.0419999999999999,0.028,0.06,57.72,372.58,1551.29,nonconforming
498.0699999999905,0.051,0.016,0.0,108.16,542.23,166.01000000000002,nonconforming
423.5799999999931,0.0499999999999999,0.021,0.12,115.83,287.56,6259.5,nonconforming
317.3699999999968,0.043,0.006,0.36,50.7,614.51,7820.280000000001,nonconforming
243.2699999999994,0.006,0.029,0.24,35.36,651.69,1245.79,conforming
396.40999999999406,0.016,0.014,0.09,5.59,390.13,2063.49,conforming
340.249999999996,0.016,0.015,0.36,88.66,187.07,4872.400000000001,nonconforming
424.4899999999931,0.021,0.028,0.21,9.88,706.94,6844.76,nonconforming
296.1799999999976,0.019,0.022,0.15,128.70000000000002,235.95,7903.09,nonconforming
237.9399999999996,0.048,0.026,0.03,26.78,747.63,765.7,nonconforming
351.5599999999956,0.052,0.026,0.03,65.26,534.4300000000001,1617.98,nonconforming
360.3999999999953,0.007,0.025,0.09,89.18,275.08,2654.6,conforming
302.1599999999973,0.021,0.026,0.21,93.6,667.03,1262.04,nonconforming
520.8199999999897,0.039,0.007,0.18,2.6,751.01,4294.68,nonconforming
291.7599999999977,0.054,0.021,0.36,17.810000000000002,142.48000000000002,7942.48,nonconforming
393.15999999999417,0.017,0.022,0.12,54.86,24.05,2162.03,conforming
457.11999999999193,0.053,0.008,0.12,91.91,793.9100000000001,6527.820000000001,nonconforming
426.309999999993,0.013,0.01,0.21,59.67,443.82,8621.210000000001,nonconforming
457.8999999999919,0.044,0.025,0.3299999999999999,66.43,383.37,253.63,nonconforming
325.0399999999965,0.024,0.021,0.27,101.4,233.48,1378.52,nonconforming
412.0099999999935,0.007,0.017,0.15,88.53,344.11,7482.150000000001,nonconforming
402.6499999999938,0.046,0.018,0.0,97.11,639.21,8198.32,nonconforming
347.0099999999958,0.023,0.005,0.27,70.07000000000001,513.89,1192.75,conforming
