pressure,iron,copper,hardness,silica,alkalinity,conductance
394.68,0.015,0.005,0.27,129.22,396.5,1840.54
96.98,0.069,0.029,0.32999999999999996,198.64000000000001,92.43,6917.95
310.96000000000004,0.061,0.030000000000000002,0.36,57.46,521.69,4659.33
149.5,0.008,0.044,0.18,190.06,379.73,6134.7
139.49,0.061,0.045,0.15,59.28,1005.1600000000001,9596.08
369.85,0.027,0.048999999999999995,0.21,219.44,1024.01,2185.4300000000003
252.07000000000002,0.055,0.037,0.0,45.89,565.89,2244.58
199.68,0.065,0.011,0.09,30.810000000000002,645.84,9452.17
101.27000000000001,0.031000000000000003,0.012,0.18,157.95000000000002,1032.07,10050.04
419.90000000000003,0.1,0.006,0.0,202.15,698.49,8535.800000000001
365.3,0.09200000000000001,0.049999999999999996,0.36,143.39000000000001,261.43,4745.26
327.08,0.024,0.030000000000000002,0.39,216.45000000000002,130.91,6285.5
394.68,0.046,0.018000000000000002,0.3,85.15,469.17,7583.16
371.02000000000004,0.048,0.048,0.12,24.05,91.78,1945.5800000000002
444.6,0.046,0.023000000000000003,0.0,197.73000000000002,735.9300000000001,3918.59
56.03,0.049999999999999996,0.006,0.06,47.45,801.45,2295.02
439.01,0.04,0.007,0.18,9.36,51.480000000000004,8493.68
98.8,0.041999999999999996,0.029,0.39,211.64000000000001,805.09,5708.3
38.35,0.046,0.039,0.39,122.33,346.58,2143.7000000000003
68.25,0.029,0.01,0.18,42.38,638.82,7.41
344.76,0.048999999999999995,0.007,0.03,76.05,142.35,9206.99
145.73000000000002,0.053,0.033,0.3,201.5,895.3100000000001,3377.79
336.05,0.048,0.024,0.42,17.68,41.730000000000004,6796.79
293.67,0.008,0.025,0.18,89.05,706.4200000000001,7050.030000000001
167.57,0.009000000000000001,0.036,0.0,149.11,218.14000000000001,1665.3
200.72,0.01,0.039,0.32999999999999996,107.38000000000001,809.9,7884.5
10.01,0.065,0.043,0.12,181.61,806.9100000000001,131.04
160.42000000000002,0.10300000000000001,0.014000000000000002,0.15,68.25,33.800000000000004,3455.27
44.2,0.062,0.017,0.21,148.33,772.33,6607.900000000001
60.32,0.057999999999999996,0.053,0.12,33.15,969.15,8509.02
426.79,0.07300000000000001,0.034,0.0,26.130000000000003,252.59,5436.08
191.88,0.034,0.046,0.12,150.02,195.26000000000002,5585.97
82.03,0.005,0.027,0.06,197.6,340.99,2573.7400000000002
429.65000000000003,0.085,0.016,0.3,114.79,861.9,8718.45
150.67000000000002,0.009000000000000001,0.047,0.32999999999999996,53.82,446.42,10360.48
168.74,0.059,0.052,0.12,66.43,905.19,6826.820000000001
166.66,0.005,0.02,0.27,43.160000000000004,217.36,4758.0
353.6,0.009000000000000001,0.048,0.09,67.34,860.86,7533.110000000001
41.86,0.021,0.030000000000000002,0.32999999999999996,213.85,688.48,9033.960000000001
301.99,0.045,0.015,0.03,160.16,1046.1100000000001,21.580000000000002
135.85,0.01,0.018000000000000002,0.36,145.86,579.02,9311.77
278.2,0.023000000000000003,0.008,0.36,60.190000000000005,766.61,7363.33
97.11,0.101,0.026000000000000002,0.06,98.28,643.24,5870.93
123.37,0.045,0.031000000000000003,0.32999999999999996,107.77000000000001,258.57,9274.59
138.84,0.062,0.033,0.06,61.49,443.82,3971.5
160.42000000000002,0.066,0.028,0.03,53.690000000000005,530.9200000000001,1013.61
337.61,0.065,0.04,0.39,169.0,383.11,3962.1400000000003
218.14000000000001,0.013000000000000001,0.026000000000000002,0.27,132.6,846.82,1011.5300000000001
401.18,0.063,0.034999999999999996,0.3,66.04,882.7,751.9200000000001
364.52000000000004,0.006,0.033,0.21,104.78,82.42,455.39000000000004
308.00999999999715,0.033,0.019,0.3,85.8,53.43,6158.360000000001
470.76999999999146,0.049999999999999996,0.014000000000000002,0.0,12.74,524.5500000000001,1939.99
245.86999999999932,0.016,0.018000000000000002,0.09,99.32000000000001,293.93,897.52
273.0399999999984,0.029,0.028,0.42,23.01,320.06,7699.77
286.0399999999979,0.015,0.012,0.36,21.71,65.39,6873.62
478.5699999999912,0.051,0.006,0.36,22.75,403.39,148.98000000000002
462.70999999999174,0.009000000000000001,0.027,0.09,134.16,832.52,5761.860000000001
461.5399999999918,0.043,0.028,0.24,1.9500000000000002,454.48,924.1700000000001
316.84999999999684,0.041,0.015,0.21,68.25,587.47,6324.76
464.65999999999167,0.038,0.015,0.3,12.74,698.1,2574.13
289.0299999999978,0.019,0.022000000000000002,0.18,82.94,695.63,6383.780000000001
248.72999999999922,0.017,0.027,0.42,47.58,893.1,6294.21
447.88999999999226,0.028,0.007,0.15,126.88000000000001,561.21,3098.94
515.2299999999899,0.046,0.024,0.12,4.94,249.08,6215.6900000000005
228.70999999999992,0.034,0.021,0.42,24.18,372.84000000000003,6876.610000000001
259.90999999999883,0.041999999999999996,0.023000000000000003,0.0,49.92,853.45,1868.75
496.63999999999055,0.051,0.014000000000000002,0.03,48.88,668.98,3164.33
443.5999999999924,0.015,0.027,0.21,59.02,796.77,4892.55
506.2599999999902,0.018000000000000002,0.025,0.18,101.14,315.77000000000004,8616.4
240.5399999999995,0.008,0.028,0.24,64.35000000000001,845.0,2809.3
240.5399999999995,0.047,0.024,0.24,51.09,142.61,3648.06
338.2999999999961,0.008,0.013000000000000001,0.21,91.65,531.7,3610.75
331.9299999999963,0.037,0.026000000000000002,0.32999999999999996,49.79,250.25,2054.91
261.3399999999988,0.036,0.008,0.36,125.97,132.47,1298.57
420.7199999999932,0.054,0.005,0.21,130.78,35.1,2122.51
458.6799999999919,0.034,0.01,0.18,86.19,671.71,1510.8600000000001
365.20999999999515,0.037,0.025,0.39,134.16,265.72,3411.85
505.34999999999025,0.049999999999999996,0.023000000000000003,0.06,103.35000000000001,509.73,5993.650000000001
233.51999999999975,0.036,0.008,0.24,24.44,532.74,1402.7
