pressure,iron,copper,hardness,silica,alkalinity,conductance,iron_class,copper_class,hardness_class,silica_class,alkalinity_class,conductance_class,conformity_class
394.68,0.015,0.005,0.27,129.22,396.5,1840.54,1.0,1.0,1.0,0.0,1.0,1.0,0.0
96.98,0.069,0.029,0.3299999999999999,198.64,92.43,6917.95,1.0,1.0,0.0,0.0,1.0,1.0,0.0
310.96000000000004,0.061,0.03,0.36,57.46,521.69,4659.33,0.0,0.0,0.0,1.0,1.0,1.0,0.0
149.5,0.008,0.044,0.18,190.06,379.73,6134.7,1.0,1.0,1.0,0.0,1.0,1.0,0.0
139.49,0.061,0.045,0.15,59.28,1005.16,9596.08,1.0,1.0,1.0,1.0,0.0,0.0,0.0
369.85,0.027,0.0489999999999999,0.21,219.44,1024.01,2185.4300000000003,1.0,0.0,1.0,0.0,0.0,1.0,0.0
252.07,0.055,0.037,0.0,45.89,565.89,2244.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0
199.68,0.065,0.011,0.09,30.81,645.84,9452.17,1.0,1.0,1.0,1.0,1.0,0.0,0.0
101.27,0.031,0.012,0.18,157.95000000000002,1032.07,10050.04,1.0,1.0,1.0,0.0,0.0,0.0,0.0
419.9,0.1,0.006,0.0,202.15,698.49,8535.800000000001,0.0,1.0,1.0,0.0,0.0,0.0,0.0
365.3,0.092,0.0499999999999999,0.36,143.39,261.43,4745.26,0.0,0.0,0.0,0.0,1.0,1.0,0.0
327.08,0.024,0.03,0.39,216.45,130.91,6285.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0
394.68,0.046,0.018,0.3,85.15,469.17,7583.16,1.0,1.0,1.0,1.0,1.0,0.0,0.0
371.02,0.048,0.048,0.12,24.05,91.78,1945.58,1.0,0.0,1.0,1.0,1.0,1.0,0.0
444.6,0.046,0.023,0.0,197.73,735.9300000000001,3918.59,1.0,1.0,1.0,0.0,0.0,1.0,0.0
56.03,0.0499999999999999,0.006,0.06,47.45,801.45,2295.02,1.0,1.0,1.0,1.0,0.0,1.0,0.0
439.01,0.04,0.007,0.18,9.36,51.48,8493.68,1.0,1.0,1.0,1.0,1.0,0.0,0.0
98.8,0.0419999999999999,0.029,0.39,211.64,805.09,5708.3,1.0,1.0,0.0,0.0,0.0,1.0,0.0
38.35,0.046,0.039,0.39,122.33,346.58,2143.7000000000003,1.0,1.0,0.0,1.0,1.0,1.0,0.0
68.25,0.029,0.01,0.18,42.38,638.82,7.41,1.0,1.0,1.0,1.0,1.0,1.0,1.0
344.76,0.0489999999999999,0.007,0.03,76.05,142.35,9206.99,1.0,1.0,1.0,1.0,1.0,0.0,0.0
145.73000000000002,0.053,0.033,0.3,201.5,895.3100000000001,3377.79,1.0,1.0,1.0,0.0,0.0,1.0,0.0
336.05,0.048,0.024,0.42,17.68,41.73,6796.79,1.0,1.0,0.0,1.0,1.0,0.0,0.0
293.67,0.008,0.025,0.18,89.05,706.4200000000001,7050.030000000001,1.0,1.0,1.0,1.0,0.0,0.0,0.0
167.57,0.009,0.036,0.0,149.11,218.14,1665.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200.72,0.01,0.039,0.3299999999999999,107.38,809.9,7884.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0
10.01,0.065,0.043,0.12,181.61,806.9100000000001,131.04,1.0,1.0,1.0,0.0,0.0,1.0,0.0
160.42000000000002,0.103,0.014,0.15,68.25,33.800000000000004,3455.27,0.0,1.0,1.0,1.0,1.0,1.0,0.0
44.2,0.062,0.017,0.21,148.33,772.33,6607.900000000001,1.0,1.0,1.0,1.0,0.0,1.0,0.0
60.32,0.0579999999999999,0.053,0.12,33.15,969.15,8509.02,1.0,0.0,1.0,1.0,0.0,0.0,0.0
426.79,0.073,0.034,0.0,26.130000000000003,252.59,5436.08,0.0,0.0,1.0,1.0,1.0,1.0,0.0
191.88,0.034,0.046,0.12,150.02,195.26,5585.97,1.0,1.0,1.0,0.0,1.0,1.0,0.0
82.03,0.005,0.027,0.06,197.6,340.99,2573.74,1.0,1.0,1.0,0.0,1.0,1.0,0.0
429.65,0.085,0.016,0.3,114.79,861.9,8718.45,0.0,1.0,1.0,0.0,0.0,0.0,0.0
150.67000000000002,0.009,0.047,0.3299999999999999,53.82,446.42,10360.48,1.0,1.0,0.0,1.0,1.0,0.0,0.0
168.74,0.059,0.052,0.12,66.43,905.19,6826.820000000001,1.0,0.0,1.0,1.0,0.0,1.0,0.0
166.66,0.005,0.02,0.27,43.16,217.36,4758.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
353.6,0.009,0.048,0.09,67.34,860.86,7533.110000000001,1.0,0.0,1.0,1.0,0.0,0.0,0.0
41.86,0.021,0.03,0.3299999999999999,213.85,688.48,9033.96,1.0,1.0,0.0,0.0,1.0,0.0,0.0
301.99,0.045,0.015,0.03,160.16,1046.11,21.58,1.0,1.0,1.0,0.0,0.0,1.0,0.0
135.85,0.01,0.018,0.36,145.86,579.02,9311.77,1.0,1.0,0.0,1.0,1.0,0.0,0.0
278.2,0.023,0.008,0.36,60.190000000000005,766.61,7363.33,1.0,1.0,0.0,1.0,0.0,0.0,0.0
97.11,0.101,0.026,0.06,98.28,643.24,5870.93,0.0,1.0,1.0,1.0,1.0,1.0,0.0
123.37,0.045,0.031,0.3299999999999999,107.77,258.57,9274.59,1.0,1.0,0.0,1.0,1.0,0.0,0.0
138.84,0.062,0.033,0.06,61.49,443.82,3971.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
160.42000000000002,0.066,0.028,0.03,53.690000000000005,530.9200000000001,1013.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0
337.61,0.065,0.04,0.39,169.0,383.11,3962.14,0.0,0.0,0.0,0.0,1.0,1.0,0.0
218.14,0.013,0.026,0.27,132.6,846.82,1011.53,1.0,1.0,1.0,1.0,0.0,1.0,0.0
401.18,0.063,0.0349999999999999,0.3,66.04,882.7,751.9200000000001,0.0,0.0,1.0,1.0,0.0,1.0,0.0
364.52,0.006,0.033,0.21,104.78,82.42,455.39,1.0,0.0,1.0,0.0,1.0,1.0,0.0
308.00999999999715,0.033,0.019,0.3,85.8,53.43,6158.360000000001,1.0,1.0,1.0,1.0,1.0,0.0,0.0
470.76999999999146,0.0499999999999999,0.014,0.0,12.74,524.5500000000001,1939.99,0.0,1.0,1.0,1.0,0.0,1.0,0.0
245.8699999999993,0.016,0.018,0.09,99.32,293.93,897.52,1.0,1.0,1.0,1.0,1.0,1.0,1.0
273.0399999999984,0.029,0.028,0.42,23.01,320.06,7699.77,1.0,1.0,0.0,1.0,1.0,0.0,0.0
286.0399999999979,0.015,0.012,0.36,21.71,65.39,6873.62,1.0,1.0,0.0,1.0,1.0,1.0,0.0
478.5699999999912,0.051,0.006,0.36,22.75,403.39,148.98000000000002,0.0,1.0,0.0,1.0,1.0,1.0,0.0
462.7099999999917,0.009,0.027,0.09,134.16,832.52,5761.860000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0
461.5399999999918,0.043,0.028,0.24,1.95,454.48,924.17,0.0,0.0,0.0,1.0,1.0,1.0,0.0
316.84999999999684,0.041,0.015,0.21,68.25,587.47,6324.76,1.0,1.0,1.0,1.0,1.0,0.0,0.0
464.65999999999167,0.038,0.015,0.3,12.74,698.1,2574.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0
289.0299999999978,0.019,0.022,0.18,82.94,695.63,6383.780000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
248.7299999999992,0.017,0.027,0.42,47.58,893.1,6294.21,1.0,1.0,0.0,1.0,0.0,1.0,0.0
447.88999999999226,0.028,0.007,0.15,126.88,561.21,3098.94,1.0,1.0,1.0,0.0,1.0,1.0,0.0
515.2299999999899,0.046,0.024,0.12,4.94,249.08,6215.6900000000005,0.0,0.0,1.0,1.0,1.0,0.0,0.0
228.70999999999992,0.034,0.021,0.42,24.18,372.84,6876.610000000001,1.0,1.0,0.0,1.0,1.0,1.0,0.0
