pressure,iron,copper,hardness,silica,alkalinity,conductance,conformity_class
403.52,0.028,0.009,0.24,83.07000000000001,458.51,2390.7000000000003,conforming
48.1,0.03,0.039,0.09,201.76,559.52,602.94,nonconforming
388.96,0.039,0.036,0.3,86.06,221.78,7408.83,nonconforming
290.42,0.039,0.01,0.39,59.28,176.15,7865.650000000001,nonconforming
449.93,0.009,0.044,0.36,166.14,696.8000000000001,2654.08,nonconforming
431.47,0.085,0.053,0.39,108.68,778.57,6612.06,nonconforming
377.65,0.0579999999999999,0.012,0.03,122.07,176.15,6202.820000000001,nonconforming
361.66,0.056,0.034,0.12,191.36,778.3100000000001,9759.62,nonconforming
284.7,0.087,0.046,0.36,220.35,637.26,9401.34,nonconforming
420.29,0.067,0.027,0.03,80.21000000000001,474.11,5465.33,nonconforming
87.88000000000001,0.099,0.038,0.03,183.3,837.2,9161.23,nonconforming
291.07,0.038,0.012,0.09,118.69,453.18,5515.51,conforming
445.38,0.09,0.044,0.3,95.03,167.44,2144.74,nonconforming
155.61,0.082,0.017,0.21,71.63,486.85,2118.35,conforming
206.31,0.095,0.034,0.3,129.74,494.52,3640.91,conforming
361.14,0.018,0.012,0.09,70.2,456.3,9874.02,nonconforming
241.67,0.007,0.047,0.36,75.27,264.42,9709.44,nonconforming
444.73,0.018,0.045,0.42,65.91,232.05,8029.58,nonconforming
370.37,0.005,0.028,0.36,138.71,863.33,9057.88,nonconforming
192.14,0.007,0.0349999999999999,0.03,87.10000000000001,954.72,3873.74,nonconforming
155.74,0.083,0.0489999999999999,0.12,182.65,627.38,9571.51,nonconforming
123.89,0.055,0.005,0.18,142.48000000000002,737.23,10394.93,nonconforming
115.96,0.095,0.051,0.27,116.22,185.64,10316.8,nonconforming
213.2,0.104,0.007,0.18,136.89,111.8,9553.96,nonconforming
59.93,0.067,0.03,0.18,191.36,46.93,673.9200000000001,nonconforming
277.81,0.027,0.019,0.42,132.99,376.61,2562.04,nonconforming
271.7,0.067,0.027,0.12,107.12,74.10000000000001,10046.27,nonconforming
300.69,0.029,0.045,0.12,182.39,211.51,1386.06,nonconforming
79.17,0.045,0.0419999999999999,0.09,83.72,754.9100000000001,5227.17,nonconforming
288.34000000000003,0.036,0.011,0.3299999999999999,170.95000000000002,9.1,4721.34,nonconforming
229.45,0.076,0.011,0.03,111.93,117.26,1380.99,conforming
26.26,0.0349999999999999,0.013,0.24,106.34,477.49,4215.900000000001,conforming
56.940000000000005,0.083,0.01,0.42,53.56,720.07,1582.88,nonconforming
106.47,0.024,0.033,0.03,93.34,59.28,2710.76,conforming
67.21000000000001,0.102,0.0499999999999999,0.3,219.57,856.83,6169.54,nonconforming
271.31,0.068,0.037,0.3,201.37,278.46000000000004,4666.35,nonconforming
55.38,0.005,0.054,0.27,218.01,922.35,6682.0,nonconforming
281.45,0.079,0.048,0.12,28.34,709.8000000000001,5808.53,nonconforming
268.97,0.078,0.021,0.06,180.57,277.68,9648.86,nonconforming
173.29,0.078,0.026,0.3,46.54,262.47,2746.77,conforming
229.06,0.037,0.048,0.3299999999999999,26.39,188.5,5195.320000000001,nonconforming
5.720000000000001,0.034,0.04,0.06,7.15,196.17,9208.55,nonconforming
77.09,0.006,0.048,0.24,186.03,1015.69,6034.6,nonconforming
352.95,0.044,0.025,0.03,121.03,557.83,154.31,nonconforming
119.99,0.027,0.048,0.15,57.72,15.08,10099.05,nonconforming
99.32,0.0499999999999999,0.037,0.12,131.69,891.15,1336.66,nonconforming
229.19,0.1,0.043,0.06,2.6,514.28,7753.98,nonconforming
106.34,0.08,0.017,0.3299999999999999,171.34,475.8,2099.76,nonconforming
342.68,0.103,0.022,0.12,95.55,341.25,6087.900000000001,nonconforming
229.45,0.1,0.038,0.09,169.52,670.41,7578.610000000001,nonconforming
372.7499999999949,0.007,0.013,0.21,8.32,270.01,3566.94,conforming
460.7599999999918,0.048,0.015,0.03,123.37,610.09,7591.22,nonconforming
424.3599999999931,0.026,0.027,0.21,33.28,462.93,6076.9800000000005,nonconforming
301.76999999999737,0.0489999999999999,0.026,0.21,16.64,138.58,5717.27,nonconforming
317.3699999999968,0.018,0.006,0.3299999999999999,50.83,866.71,197.86,nonconforming
383.7999999999945,0.041,0.006,0.06,28.08,833.82,7249.320000000001,nonconforming
255.61999999999895,0.052,0.017,0.3,118.17,700.57,8865.220000000001,nonconforming
300.4699999999974,0.046,0.01,0.27,25.87,644.5400000000001,8671.26,nonconforming
504.0499999999903,0.046,0.016,0.03,98.54,557.57,3306.1600000000003,nonconforming
